"(v(""/A"" ?result ""tran"") / IT(""/V1/MINUS"")) X","(v(""/A"" ?result ""tran"") / IT(""/V1/MINUS"")) Y"
0,#NAME?
,
3.74E-09,4386.787519
5.00E-09,81.83403202
5.16E-09,81.84482379
5.48E-09,81.85959334
5.79E-09,81.87359463
6.42E-09,81.90249612
7.66E-09,81.95945398
1.01E-08,82.07534903
1.51E-08,82.3045023
2.51E-08,82.76565845
4.49E-08,83.69083802
8.47E-08,85.55784165
1.64E-07,89.35241992
3.23E-07,97.18482576
5.05E-07,106.4946999
,
,
5.10E-07,0
5.10E-07,0
5.11E-07,0
5.11E-07,0
5.12E-07,0
5.13E-07,0
5.16E-07,0
5.22E-07,0
5.33E-07,0
5.57E-07,0
6.03E-07,0
6.96E-07,0
8.82E-07,0
,
2.00E-06,0
3.49E-06,0
5.49E-06,0
7.49E-06,0
8.74E-06,0
1.00E-05,0
1.00E-05,9821.523106
1.00E-05,106.5434645
1.00E-05,106.5609411
1.00E-05,106.5807304
1.00E-05,106.6019783
1.00E-05,106.6460298
1.00E-05,106.7326681
1.00E-05,106.9087587
1.00E-05,107.2576622
1.00E-05,107.9597403
1.01E-05,109.3671353
1.01E-05,112.2074164
1.02E-05,117.9784417
1.04E-05,125.8808942
1.05E-05,133.9756759
1.05E-05,6816.8557
1.05E-05,105599.7774
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.05E-05,0
1.06E-05,0
1.06E-05,0
1.07E-05,0
1.09E-05,0
1.13E-05,0
1.22E-05,0
1.38E-05,0
1.58E-05,0
1.78E-05,0
1.89E-05,0
2.00E-05,0
2.00E-05,10821.69678
2.00E-05,134.0267985
2.00E-05,134.0481418
2.00E-05,134.0707309
2.00E-05,134.0945194
2.00E-05,134.1419189
2.00E-05,134.2374429
2.00E-05,134.428904
2.00E-05,134.811759
2.00E-05,135.57904
2.01E-05,137.1189017
2.01E-05,140.2166955
2.02E-05,146.4848634
2.04E-05,155.013265
2.05E-05,163.6941631
2.05E-05,7224.329708
2.05E-05,133812.6166
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.05E-05,0
2.06E-05,0
2.06E-05,0
2.07E-05,0
2.09E-05,0
2.13E-05,0
2.22E-05,0
2.38E-05,0
2.58E-05,0
2.78E-05,0
2.89E-05,0
3.00E-05,0
3.00E-05,11744.59665
3.00E-05,163.7435407
3.00E-05,163.7714292
3.00E-05,163.7940356
3.00E-05,163.8202984
3.00E-05,163.870533
3.00E-05,163.9735512
3.00E-05,164.1770009
3.00E-05,164.5882344
3.00E-05,165.4064186
3.01E-05,167.0502567
3.01E-05,170.3497332
3.02E-05,177.0084151
3.04E-05,186.0234943
3.05E-05,195.1566232
3.05E-05,7587.911589
3.05E-05,164599.6521
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.05E-05,0
3.06E-05,0
3.06E-05,0
3.07E-05,0
3.09E-05,0
3.13E-05,0
3.22E-05,0
3.38E-05,0
3.58E-05,0
3.78E-05,0
3.89E-05,0
4.00E-05,0
4.00E-05,12600.49534
4.00E-05,195.2028783
4.00E-05,195.2382296
4.00E-05,195.2619156
4.00E-05,195.2893871
4.00E-05,195.3420199
4.00E-05,195.4500939
4.00E-05,195.6642071
4.00E-05,196.0947414
4.00E-05,196.9535525
4.01E-05,198.6774189
4.01E-05,202.131895
4.02E-05,209.0890375
4.04E-05,218.4733036
4.05E-05,227.9487783
4.05E-05,7916.354389
4.05E-05,197874.7303
4.05E-05,-6.64E-06
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.05E-05,0
4.06E-05,0
4.06E-05,0
4.07E-05,0
4.09E-05,0
4.13E-05,0
4.22E-05,0
4.38E-05,0
4.58E-05,0
4.78E-05,0
4.89E-05,0
5.00E-05,0
5.00E-05,13398.86991
5.00E-05,227.9891917
5.00E-05,228.0332376
5.00E-05,228.058658
5.00E-05,228.0851595
5.00E-05,228.1414685
