"leafValue( IT(""/V0/MINUS"") ""Cp"" 2e-13 ) vs leafValue( VT(""/Vin"") ""Cp"" 2e-13 ) X","leafValue( IT(""/V0/MINUS"") ""Cp"" 2e-13 ) vs leafValue( VT(""/Vin"") ""Cp"" 2e-13 ) Y"
0,0
0.000621492,6.92E-07
0.001153487,6.91E-07
0.002217475,6.84E-07
0.004345438,6.85E-07
0.008601256,6.73E-07
0.017112041,6.74E-07
0.034126837,6.71E-07
0.068102372,6.97E-07
0.135622124,7.78E-07
,
0.799751338,9.18E-05
0.779339066,6.31E-05
0.652375389,8.95E-06
0.420735862,-6.37E-07
0.21416302,-5.62E-07
-0.002582794,-6.48E-07
-0.202636641,-1.23E-06
-0.249621223,-4.57E-06
-0.272773446,-9.58E-06
-0.31828925,-3.50E-05
-0.367151574,-7.37E-05
-0.421033103,-8.72E-05
-0.436226142,-8.63E-05
-0.465942556,-8.41E-05
-0.512789269,-8.00E-05
-0.597804958,-7.04E-05
-0.711622432,-5.16E-05
-0.784330965,-2.89E-05
-0.79587606,-8.97E-06
-0.753811541,-1.70E-06
-0.661626121,-4.34E-07
-0.545250044,2.26E-08
-0.354542339,1.87E-07
-0.142045744,5.54E-07
0.064882033,2.16E-06
0.259107381,3.88E-05
0.434438165,0.00010507
0.555906206,0.000150245
0.661896077,0.000155987
0.73293968,0.000141808
0.771484092,0.000128176
0.797848348,0.000106811
0.769087704,5.63E-05
0.629105135,5.60E-06
0.420148031,-8.06E-07
0.213315159,-3.95E-07
-0.001548192,-8.16E-07
-0.201181876,-9.79E-07
-0.248191964,-4.27E-06
-0.271358962,-8.40E-06
-0.316908296,-3.24E-05
-0.366800776,-7.20E-05
-0.41935142,-8.72E-05
-0.435752883,-8.58E-05
-0.467777096,-8.42E-05
-0.51430818,-7.95E-05
-0.598750718,-7.06E-05
-0.706896661,-5.23E-05
-0.782228408,-3.03E-05
-0.796919441,-9.32E-06
-0.756138611,-2.16E-06
-0.664260018,-1.08E-07
-0.548548743,-3.22E-07
-0.362059014,5.14E-07
-0.149659057,2.09E-07
0.057524422,2.23E-06
0.252300216,3.62E-05
0.42842258,0.000103007
0.551170624,0.000148643
0.656760137,0.000156862
0.731200983,0.000141986
0.770246697,0.000129032
0.797184161,0.000107851
0.771945925,5.86E-05
0.635944209,6.35E-06
0.426148507,-5.59E-07
0.219805662,-6.42E-07
0.004412979,-5.68E-07
-0.195711045,-1.12E-06
-0.24283592,-3.40E-06
-0.334178859,-4.20E-05
-0.352196105,-5.72E-05
-0.38756272,-7.89E-05
-0.403334344,-8.25E-05
-0.434247211,-8.51E-05
-0.474118199,-8.32E-05
-0.529919886,-7.84E-05
-0.599499371,-7.01E-05
-0.692560773,-5.55E-05
-0.775479629,-3.29E-05
-0.799046024,-1.18E-05
-0.738743096,-1.10E-06
-0.637405476,-4.07E-07
-0.504339766,1.01E-07
-0.308287167,2.02E-07
-0.096422509,6.17E-07
0.108169686,5.05E-06
0.298746429,5.34E-05
0.456837024,0.000114991
0.572928895,0.000154645
0.684305242,0.000153002
0.74245399,0.000139302
0.778613191,0.000124478
0.799943092,9.91E-05
0.761144077,5.09E-05
0.607615397,3.11E-06
0.404531432,-7.68E-07
0.195975337,-4.32E-07
-0.017466267,-7.80E-07
-0.215759844,-1.46E-06
-0.262461293,-6.59E-06
-0.285454457,-1.33E-05
-0.330618095,-4.38E-05
-0.376918543,-7.76E-05
-0.43849055,-8.73E-05
-0.451287805,-8.56E-05
-0.476376066,-8.37E-05
-0.524398839,-7.86E-05
-0.610857344,-6.89E-05
-0.72539073,-4.82E-05
-0.79021986,-2.59E-05
-0.791198817,-6.58E-06
-0.744404312,-1.57E-06
-0.649696491,-1.30E-07
-0.529466155,-2.06E-07
-0.319804182,4.90E-07
-0.106889923,3.28E-07
0.098734631,4.36E-06
0.290308953,4.94E-05
0.452791397,0.000112866
0.57004283,0.000153307
0.679450099,0.000153968
0.74025885,0.000139631
0.776953258,0.000125657
0.799677884,0.000100911
0.76393284,5.30E-05
0.614987742,3.59E-06
0.410304253,-5.15E-07
0.202525253,-6.85E-07
-0.011399402,-5.26E-07
-0.210192077,-1.51E-06
-0.25701374,-5.30E-06
-0.280074449,-1.15E-05
-0.325387665,-3.91E-05
-0.372818199,-7.58E-05
-0.42964808,-8.71E-05
-0.443456292,-8.62E-05
-0.470502503,-8.38E-05
-0.51868777,-7.95E-05
-0.605646783,-6.93E-05
-0.721711492,-4.94E-05
-0.788694701,-2.64E-05
-0.79273067,-7.53E-06
-0.779515615,-3.96E-06
-0.733527324,-1.26E-06
-0.655772758,-1.26E-07
-0.516417835,-1.80E-07
-0.30813889,5.18E-07
-0.095469795,3.35E-07
0.109780123,5.27E-06
0.300364356,5.28E-05
0.458805622,0.000115058
0.574803336,0.000154033
0.686049522,0.000152968
0.743838412,0.000138588
0.779548903,0.00012423
0.799982974,9.81E-05
0.759843699,5.04E-05
0.603934178,2.49E-06
0.40133263,-4.70E-07
0.192231149,-7.29E-07
-0.020983027,-4.83E-07
-0.219001616,-1.89E-06
-0.265633358,-6.98E-06
-0.288587319,-1.50E-05
-0.333664072,-4.61E-05
-0.379446985,-7.90E-05
-0.445287327,-8.68E-05
-0.45761992,-8.57E-05
-0.481802148,-8.30E-05
-0.52811794,-7.86E-05
-0.611672098,-6.85E-05
-0.726087503,-4.83E-05
-0.790534344,-2.54E-05
-0.790831633,-6.76E-06
-0.743708883,-1.24E-06
-0.648797758,-4.35E-07
-0.528235192,1.04E-07
-0.31862618,1.83E-07
-0.105769499,6.37E-07
0.099785161,4.14E-06
0.291268429,5.01E-05
0.4533177,0.00011278
0.570449779,0.000153701
0.680022683,0.000153578
0.740544775,0.000139858
0.77716486,0.000125236
0.7997178,0.000100985
0.763631143,5.25E-05
0.614163227,3.81E-06
0.409654219,-8.20E-07
0.201782707,-3.80E-07
-0.012091621,-8.31E-07
-0.21083099,-1.23E-06
-0.257639729,-5.72E-06
-0.28069311,-1.14E-05
-0.325989976,-3.99E-05
-0.373276126,-7.57E-05
-0.430539892,-8.74E-05
-0.444211659,-8.59E-05
-0.470994411,-8.40E-05
-0.51930133,-7.92E-05
-0.606431401,-6.95E-05
-0.722258951,-4.90E-05
-0.788923709,-2.66E-05
-0.792517696,-7.17E-06
-0.746924308,-1.57E-06
-0.65297651,-2.35E-07
-0.533894063,-1.21E-07
-0.329503869,3.85E-07
-0.116680937,4.12E-07
0.089336729,3.59E-06
0.281676233,4.64E-05
0.448124229,0.000110832
0.566457149,0.000152631
0.674599266,0.000154552
0.737959422,0.000140358
0.775244627,0.000126454
0.799269147,0.000102843
0.766039133,5.43E-05
0.620778296,4.36E-06
0.414674882,-6.32E-07
0.207440111,-5.69E-07
-0.006871224,-6.42E-07
-0.206045603,-1.27E-06
-0.252956694,-4.76E-06
-0.276067641,-1.00E-05
-0.32149208,-3.59E-05
-0.369960736,-7.41E-05
-0.424486369,-8.73E-05
-0.439321093,-8.61E-05
-0.46834379,-8.40E-05
-0.51541443,-7.96E-05
-0.600695512,-7.02E-05
-0.716312959,-5.05E-05
-0.786413838,-2.79E-05
-0.794553147,-8.14E-06
-0.750985726,-1.67E-06
-0.658131788,-3.23E-07
-0.540724433,-6.54E-08
-0.3445642,2.97E-07
-0.131917603,4.66E-07
0.074671847,2.68E-06
0.268166714,4.18E-05
0.44142837,0.000107984
0.561387882,0.000151527
0.668146465,0.000155315
0.73533948,0.000141119
0.773269394,0.000127378
0.798609091,0.000104955
0.767557392,5.53E-05
0.625078882,4.98E-06
0.417402554,-7.20E-07
0.210393062,-4.81E-07
-0.004205263,-7.30E-07
-0.203620892,-1.12E-06
-0.250583735,-4.50E-06
