"IT(""/V0/MINUS"") vs Vin X","IT(""/V0/MINUS"") vs Vin Y"
0,0
0.000379988,3.48E-07
0.000727494,3.47E-07
0.001422507,3.45E-07
0.002812528,3.45E-07
0.005592542,3.40E-07
0.011152332,3.39E-07
0.022270029,3.36E-07
0.044490366,3.42E-07
0.088810745,3.58E-07
0.176491915,5.07E-07
,
0.797265171,0.000104729
0.795520115,8.11E-05
0.752741087,4.49E-05
0.650342547,9.08E-06
0.448705185,-4.10E-07
0.262297302,-1.83E-07
0.048712626,-4.21E-07
-0.153645312,-3.01E-07
-0.201508525,-1.13E-06
-0.294781432,-1.85E-05
-0.318752289,-3.57E-05
-0.330613457,-4.56E-05
-0.354071666,-6.51E-05
-0.399845657,-8.50E-05
-0.411054907,-8.56E-05
-0.43314469,-8.55E-05
-0.473307466,-8.34E-05
-0.544351729,-7.66E-05
-0.628412224,-6.62E-05
-0.724809582,-4.83E-05
-0.790168359,-2.58E-05
-0.790954815,-6.63E-06
-0.776305757,-3.82E-06
-0.72686247,-9.76E-07
-0.646447348,-5.61E-07
-0.499386278,-1.26E-07
-0.290611378,-4.11E-08
-0.078610789,2.87E-07
0.125405764,6.46E-06
0.314364827,5.94E-05
0.46545447,0.000119183
0.578533247,0.000156151
0.654203059,0.000155637
0.720702449,0.000144631
0.761069493,0.000132443
0.796383452,0.000109223
0.7756699,6.11E-05
0.646418484,8.45E-06
0.437303165,-4.53E-07
0.232231548,-1.43E-07
0.016281003,-4.63E-07
-0.184538679,-5.13E-07
-0.231842528,-2.70E-06
-0.32366744,-3.70E-05
-0.342449158,-5.35E-05
-0.379315229,-7.77E-05
-0.393464468,-8.20E-05
-0.421275637,-8.50E-05
-0.4600198,-8.43E-05
-0.513207135,-7.97E-05
-0.579240124,-7.27E-05
-0.668129004,-5.97E-05
-0.760120005,-3.87E-05
-0.799706055,-1.62E-05
-0.763919392,-2.60E-06
-0.668733765,-4.19E-07
-0.547781539,-4.85E-07
-0.378454479,1.03E-07
-0.16640419,-4.79E-08
0.041081994,1.28E-06
0.236944903,3.24E-05
0.414807826,9.94E-05
0.538879268,0.00014713
0.643778153,0.000158234
0.725440236,0.000143407
0.765880833,0.00013085
0.795182099,0.000110695
0.778434057,6.37E-05
0.66174899,1.13E-05
0.449250427,-1.35E-07
0.246886216,-4.57E-07
0.029819836,-1.48E-07
-0.172292388,-6.88E-07
-0.219887812,-1.56E-06
-0.312418207,-2.90E-05
-0.332994795,-4.58E-05
-0.373342568,-7.59E-05
-0.423639663,-8.65E-05
-0.435143021,-8.61E-05
-0.457767283,-8.44E-05
-0.501394813,-8.10E-05
-0.581470561,-7.22E-05
-0.690514818,-5.60E-05
-0.773951735,-3.33E-05
-0.799425814,-1.25E-05
-0.743303193,-1.26E-06
-0.643919528,-7.02E-07
-0.513488949,-7.68E-08
-0.323101961,-1.97E-07
-0.111222197,3.50E-07
0.094032606,3.41E-06
0.285782525,4.96E-05
0.447848904,0.000112712
0.564503408,0.000154298
0.673438226,0.000154444
0.735458401,0.000141288
0.77348817,0.000126953
0.799074272,0.000103725
0.768090945,5.54E-05
0.627024287,5.63E-06
0.42135794,-6.15E-07
0.214987572,1.62E-08
0.000288434,-6.23E-07
-0.199405442,-6.35E-07
-0.246450685,-4.46E-06
-0.269637665,-8.83E-06
-0.315231658,-3.47E-05
-0.364190021,-7.32E-05
-0.417728504,-8.76E-05
-0.433089829,-8.61E-05
-0.463136753,-8.45E-05
-0.509915401,-7.98E-05
-0.594926767,-7.10E-05
-0.70870138,-5.18E-05
-0.782966505,-2.98E-05
-0.796612332,-9.16E-06
-0.786970766,-5.93E-06
-0.749263674,-1.48E-06
-0.678347457,-8.00E-07
-0.55698378,-8.07E-08
-0.360454955,-2.37E-07
-0.147496434,3.63E-07
0.060273371,1.40E-06
0.254968817,3.79E-05
0.430784089,0.000104579
0.55174983,0.000150432
0.657146584,0.000156416
0.729581798,0.000142692
0.768915924,0.00012916
0.796961762,0.000108514
0.772851745,5.88E-05
0.639468297,7.42E-06
0.430242068,-5.97E-07
0.224455422,-6.29E-10
0.008841052,-6.06E-07
-0.191607551,-4.84E-07
-0.238815959,-3.49E-06
-0.262094906,-6.79E-06
-0.307893042,-2.90E-05
-0.359383333,-7.01E-05
-0.410598612,-8.73E-05
-0.429353656,-8.59E-05
-0.465872429,-8.43E-05
-0.512122971,-7.95E-05
-0.596187023,-7.09E-05
-0.702212634,-5.31E-05
-0.779991434,-3.13E-05
-0.797838424,-1.00E-05
-0.729192116,-1.46E-06
-0.62601354,-1.32E-07
-0.48838954,-5.70E-07
-0.280934203,3.71E-07
-0.142758471,-2.03E-07
-9.80E-16,8.55E-07
