"leafValue( IT(/V0/MINUS"") ""modelFiles"" ""gpdk090.scs:NN","gpdk.scs:stat"" ) vs leafValue( VT(""/Vin"") ""modelFiles"" ""gpdk090.scs:NN","gpdk.scs:stat"" ) X""","leafValue( IT(/V0/MINUS"") ""modelFiles"" ""gpdk090.scs:NN","gpdk.scs:stat"" ) vs leafValue( VT(""/Vin"") ""modelFiles"" ""gpdk090.scs:NN","gpdk.scs:stat"" ) Y"""
0,0,,,,
0.000379988,6.97E-08,,,,
0.000727494,6.97E-08,,,,
0.001422507,6.92E-08,,,,
0.002812528,6.91E-08,,,,
0.005592542,6.83E-08,,,,
0.011152332,6.80E-08,,,,
0.022270029,6.74E-08,,,,
0.044490366,6.87E-08,,,,
0.088810745,7.37E-08,,,,
0.176491915,1.78E-07,,,,
0.289324129,3.41E-06,,,,
0.414554476,3.09E-05,,,,
,,,,,
0.78798546,0.001424812,,,,
0.796350133,0.001192752,,,,
0.798542301,0.000711813,,,,
0.780722941,0.000356651,,,,
0.701059896,0.000126145,,,,
0.60059636,6.29E-05,,,,
0.435298,6.99E-06,,,,
0.222328775,-1.61E-08,,,,
0.012242115,-1.10E-07,,,,
-0.187573701,-1.26E-08,,,,
-0.370644433,-2.29E-07,,,,
-0.531170444,-5.93E-05,,,,
-0.662324328,-0.001707456,,,,
-0.730259502,-0.002337942,,,,
-0.745922847,-0.002184091,,,,
-0.771426931,-0.001814613,,,,
-0.790342139,-0.001373927,,,,
-0.798067844,-0.000573123,,,,
-0.787455229,-0.000300588,,,,
-0.739028107,-4.00E-05,,,,
-0.661988907,-1.08E-06,,,,
-0.536968321,-8.44E-07,,,,
-0.342332424,9.11E-07,,,,
-0.130509703,-8.03E-07,,,,
0.075950237,1.02E-06,,,,
0.269192406,1.44E-05,,,,
0.443245484,8.98E-05,,,,
0.591988595,0.000493754,,,,
0.624838332,0.001029244,,,,
0.68290947,0.0022842,,,,
0.727058918,0.002457048,,,,
0.73738397,0.002368088,,,,
0.755750388,0.002161527,,,,
0.780453595,0.001734747,,,,
0.799987052,0.000930447,,,,
0.780423009,0.00035291,,,,
0.7038537,0.000129041,,,,
0.602448998,6.35E-05,,,,
0.450564656,9.93E-06,,,,
0.238914189,-3.84E-07,,,,
0.028627618,2.62E-07,,,,
-0.172226893,-3.85E-07,,,,
-0.356937663,1.95E-07,,,,
-0.519560457,-3.90E-05,,,,
-0.6533646,-0.001511412,,,,
-0.725959256,-0.002372909,,,,
-0.741137523,-0.002236194,,,,
-0.766421901,-0.001903668,,,,
-0.786491772,-0.001483538,,,,
-0.799653563,-0.000700936,,,,
-0.792988526,-0.000402536,,,,
-0.754571852,-7.56E-05,,,,
-0.683202899,-1.72E-06,,,,
-0.571463053,-2.75E-06,,,,
-0.402272572,2.76E-06,,,,
-0.191438882,-2.66E-06,,,,
0.017242987,2.79E-06,,,,
0.214948089,2.72E-06,,,,
0.395242053,6.56E-05,,,,
0.552088295,0.000234852,,,,
0.587250205,0.000473412,,,,
0.650533811,0.001650648,,,,
0.701094134,0.002485074,,,,
0.720529807,0.002466924,,,,
0.753276437,0.002196147,,,,
0.776593897,0.00181393,,,,
0.797783011,0.001177185,,,,
0.788387624,0.000441191,,,,
0.7152551,0.000143838,,,,
0.615984606,6.64E-05,,,,
0.473242282,1.85E-05,,,,
0.261201618,-4.21E-06,,,,
